ID,词根,来源
1,"DUC, DUCT[DU]","来自拉丁语的词根 duc, duct 意为 to lead。du 是它们的变形。同义词根有来自拉丁语的 men[mean] 和来自希腊语的 ago。此外，还有意为 to drive 的来自拉丁语的词根 ag / ig / act, flig, pel / puls [ peal ] 等。"
2,"HOM, HUM","来自拉丁语的 hom 意为 man，hum 意为 earth, ground。同义词根有来自希腊语的 anthrop 和来自盎格鲁-撒克逊语的 man。"
3,"TAIN, TEN[TIN]",来自拉丁语的 ten 意为 to hold。tain 是该词根从法语借用到英语后的形式，tin 是元音弱化后的形式。
4,NORM,"来自拉丁语的 norm 意为 standard, rule。"
5,UND,来自拉丁语的 und 意为 wave。
6,"DIC, DICT","来自拉丁语的词根 dic, dict 意为 to say, to declare, to allot（此含义比较少用）等。有时""c""（k）不发音。同义词根有来自拉丁语的 fa / fam / fess, locut / loqu, nounc / nunci, or, parl, 来自希腊语的 phras, pha / phe / phu 等。"
7,COND,"来自拉丁语的 cond 意为 to hide。同义词根有来自拉丁语的 cel [ ceal, cul ], cover / cur, tect / teg 和来自希腊语的 crypt。"
8,"VERT, VERS","来自拉丁语的 vert, vers 意为 to turn, 同义词根有 verg, rot 和来自希腊语的 stroph 等，以及来自盎格鲁-撒克逊语的 tour。"
9,HOR,"来自拉丁语的词根 hor 意为 to shudder, to bound, hour 等。"
10,"SOLV, SOLU","来自拉丁语的solv, solu意为to loosen, to free。同义词根有来自拉丁语的franc, liber / liver, lys / lyt等。"
11,TOM [TEM],"来自希腊语的 tom 意为 to cut。tom 里的元音字母 o 弱化成 e, 变成了 tem。同义词根有来自拉丁语的 cis, cop/coup, scind/scis, sect, sever, tail, tons, trench 等。"
12,"JECT, JAC[JET]","来自拉丁语的 ject, jac 意为 to throw, jet 是其变形。同义词根有 来自希腊语的 bol[bl, bal] 和来自拉丁语的 lanc/launc, sip 等。"
13,"LU, LAV, LAU","来自拉丁语的 lu, lav, lau 意为 to wash。"
14,ROG,来自拉丁语的 rog 意为 to ask。同义词根有来自拉丁语的 quir/quisit/quer/quest 等。
15,"TRUD, TRUS","来自拉丁语的 trud, trus意为 to thrust。"
16,"VOC, VOK [VOUC, VOW, VOIC]","来自拉丁语的 voc, vok 意为 to call。因与拉丁语中的 vox, vocis 相关,所以也有 voice 的意思。vouc, vow, voic 是其变形。"
17,ERR[ARR],"来自拉丁语的 err 意为 to wander, arr是它的变形。同义词根有来自拉丁语的 plan 和来自希腊语的 vag。"
18,ORI[ORT],"来自拉丁语的 ori 意为 to rise, to arise, 变形是 ort。"
19,"RAD, RAS [RAZ]","来自拉丁语的 rad, ras 意为 to rub, to scrape。其变形为 raz。"
20,"CLAIM, CLAM","来自拉丁语的 claim, clam意为 to cry, to shout。"
21,MOD,"来自拉丁语的 mod 意为 fit, manner, modern, measure, kind, way 等。"
22,QUI,"来自拉丁语的 qui 意为 quiet, to rest。"
23,"HER, HES","来自拉丁语的 her, hes 意为 to stick。同义词根有 clam, cleav, visc 等。"
24,FLU,"来自拉丁语的 flu 意为 to flow。同义词根有来自希腊语的rrh和来自拉丁语的lix, man等。"
25,"CEL, CELER","来自拉丁语的cel, celer意为swift。其反义词根为slo, tard,意为slow。"
26,"LEG, LECT [LIG, LEAG]","来自拉丁语的 leg, lect 有 law, to gather, to choose, to read, to send 等多种含义。其变形有 lig, leag 等。"
27,"PAR[PAIR, PER, PIR, PEER]","来自拉丁语的 par意为 to arrange, to appear, to produce, equal。其变形有pair, per, pir, peer等。"
28,"PEND, PENS [POND, PENC]","来自拉丁语的 pend, pens 意为 to hang, to weigh, to pay, to consider。其变形有 pond 和 penc。"
29,"SPECT, SPEC [SPIC, SPI, SPY]","来自拉丁语的 spect, spec意为 to look, to see,其变形为spic, spi,spy等。同义词根有来自拉丁语的vid/vis及变形 vic, view, voy, vey / vei, vy/vi, ud,来自拉丁语的the, tu,来自希腊语的orama, scop,以及来自盎格鲁-撒克逊语的see等。"
30,"SAL[ SUL, SIL, SAIL, SAUL]","来自拉丁语的 sal 意为 to leap, 其变形有 sul, sil, sail, saul 等。此外, sal 还有 salt 和 health 的意思。"
31,VENG,来自拉丁语的 veng 意为 to punish。同义词根为 pun/pen。
32,EQU[IQU],"来自拉丁语的 equ 意为 equal, same。其变形为iqu。同义词根有来自拉丁语的 sembl, simil / simul, par, ident 等和来自希腊语的 tauto。"
33,FLICT,"来自拉丁语的 flict 意为 to strike。同义词根有来自拉丁语的 bat, cuss, fend/fens [fenc, fest], lid/lis, plaud/plaus [plod, plos, plex] 和来自盎格鲁-撒克逊语的 sla 等。"
34,"LIG [LI, LEAG, LY]","来自拉丁语的 lig意为 to bind, to tie。变形有li, leag, ly等。同义词根有来自拉丁语的 cinct, nect/nex, strain/strict/string/stress等和来自盎格鲁-撒克逊语的bond。此外,意为to join的junct/join/jug也与此词根含义相似。"
35,VAL[VAIL],"来自拉丁语的 val 意为 worth, strong。变形为 vail。此外,来自拉丁语的 rob, fort/forc, firm, bil 等也有 strong 的意思。"
36,"COR, CORD [COUR]","来自拉丁语的 cor, cord 意为 heart。变形为 cour。同义词根为来自希腊语的 card。"
37,SERT,"来自拉丁语的 sert 意为 to put, to place。同义词根有来自拉丁语的 loc, pos / post / pon / pound, stal 等,还有来自希腊语的 thes / thet / them, top。"
38,"APT [EPT, ATT]",来自拉丁语的 apt意为fit。变形为ept 和 att。
39,LOT,"来自盎格鲁-撒克逊语的 lot 意为lot。同义词根有来自拉丁语的 sorc, sort 和来自希腊语的 cler。"
40,"NE[NA, NO, N]","来自拉丁语的 ne意为not,表示否定。其变形有na, no, n等。"
41,"PAC, PEAS","来自拉丁语的 pac, peas意为peace。反义词根有意为war 的来自拉丁语的 bell, mar和来自法语的 guerr。"
42,"CED, CESS [CEED, CEAS]","来自拉丁语的 ced, cess 意为 to go。其变形为 ceed, ceas。同义词根有来自拉丁语的grad/gress/gred, it, vad/vas,还有来自希腊语的bat [bet, bit]和来自盎格鲁-撒克逊语的fare。"
43,"PLIC, PLY, PLI, PLE, PLEX, PLO","来自拉丁语的 plic, ply, pli, ple, plex, plo 意为 to fold。意为 to fill, full 的词根 ple, plet, pli, ply, plen 等和这些词根形态相似,易于混淆,需要注意。"
44,JOURN,来自拉丁语的 journ 意为 day。同义词根为 hemer。
45,"VEN, VENT","来自拉丁语的 ven, vent意为to come。"
46,GRAV[GRIEV],来自拉丁语的 grav 意为 heavy。其变形为 griev。
47,"NEX, NECT","来自拉丁语的nex, nect意为 to bind。同义词根有来自拉丁语的cinct, lig, string/strict/strain/stress等和来自希腊语的bond,此外还有意为 to join的junct/jug/join,含义相似。"
48,NIHIL,来自拉丁语的 nihil 意为 nothing。
49,PORTION,来自拉丁语的 portion 意为share。
50,"PRECI [PRAIS, PRIS, PRIC, PRIZ]","来自拉丁语的 preci 意为 price。其变形为 prais, pris, pric, priz。"
51,SPIR,"来自拉丁语的 spir意为 to breathe。此外,它还有 a coil的意思。"
52,SIMIL[SIMUL],"来自拉丁语的 simil 意为 same, equal, 元音弱化后变成了 simul。同义词根有来自拉丁语的 equ, par, sembl, ident 等和来自希腊语的 tauto。"
53,CLIM,"来自拉丁语的 clim意为ladder, slope。"
54,"ALI, ALTER[ULTER, ALTRU]","来自拉丁语的ali, alter意为other。其变形有ulter, altru等。同义词根有来自希腊语的all。"
55,FIL,"来自拉丁语的 fil意为son, thread, foul。"
56,LEV[LIEV],"来自拉丁语的 lev意为 to raise, to lift, light, smooth 等。其变形为liev。"
57,"LUD, LUS","来自拉丁语的lud, lus 意为 to laugh, to play。"
58,PALL,来自拉丁语的 pall意为 pale。
59,"PREHEND, PREHENS [PREN, PREGN, PRIEV]","来自拉丁语的 prehend, prehens意为 to take, to seize。其变形有pren, pregn, priev等。同义词根有来自拉丁语的cap/capt/cept/ceiv [cip, cup, ceit], empt/em, rap/rav, sump/sumpt, lab/lep等。"
60,CERT,来自拉丁语的词根 cert 意为 sure。
61,"SENT, SENS","来自拉丁语的 sent, sens 意为 to feel。同义词根有来自希腊语的 path, (a)esthes/(a)esthet 和来自拉丁语的 pat/pass。"
62,"SED, SESS[SID]","来自拉丁语的词根 sed, sess 意为 to sit, 元音弱化后变成 sid。反义词根有来自拉丁语的 st, stat, stit, sist 等。"
63,BAS,"来自拉丁语的词根 bas 意为 lower, bottom。"
64,"CENT, CANT [CHANT, CHANS]","来自拉丁语的词根 cent, cant 意为 to sing, song, 元音弱化后变成 chant, chans。"
65,CRE[CRU],"来自拉丁语的 cre 具有 to grow, to increase 等含义。元音弱化后变成 cru。此外,意为 to separate, to observe 的cret/creet/cre/cern 和此词根形态相似,需加以注意。"
66,"FA, FAM, FESS","来自拉丁语的fa, fam, fess 意为 to say, to talk。同义词根有来自拉丁语的dic / dict, locut / loqu, nounc / nunci, parl和来自希腊语的phras, pha / phe / phu。"
67,GRAND,"来自拉丁语的 grand 意为 great, large。同义词根有来自希腊语的coloss, magn, maha, mega/megalo, metro和来自拉丁语的maj, max等。"
68,"PROB, PROV","来自拉丁语的 prob, prov 意为 to test, to try, to examine, good, proper。"
69,"SCRIB, SCRIPT","来自拉丁语的 scrib, script 意为 to write。同义词根有来自希腊语的 graph, gram。"
70,SPERS[SPARS],"来自拉丁语的词根 spers 意为 to sprinkle, to strew。 spars 是其变形。"
71,TRIBUT,"来自拉丁语的词根 tribut 意为 to give, to pay。"
72,VER,来自拉丁语的词根 ver 意为 true。此外 ver 还有 to feel awe 和 to fear 的意思。
73,"FAC, FACT, FEC, FECT, FIC, FICT [FEAS, FEIT, FEAT, FIT]","来自拉丁语的 fac, fact, fec / fect, fic / fict 意为 to make, to do。feas, feit, feat, fit 等是其变形。"
74,FRONT,"来自拉丁语的 front 意为 forehead, face。"
75,SEVER,"来自拉丁语的 sever 意为 serious, earnest, to cut。"
