ID,前缀,来源
1,"AB (ABS, A)","前缀AB来源于拉丁语，意为""away, from, off""，同时还有大部分前缀所共有的""intensive""的含义。由于前缀主要来源于拉丁语和希腊语的介词,所以以前缀AB开头的单词主要和介词""from""一起使用。"
2,"AD (AC, AS, AF, AG, AL, AN, AP, AR, AT, A)","前缀来源于拉丁语，意为""to""，以前缀AD并来的其他变形也同""to""一起使用。"
3,AN (A),"前缀AN来源希腊语，意为""not, without""。"
4,"COM (COL, CON, COR, CO, COUN)","前缀COM来源拉丁语，意为""with, together""，同时还有前缀所共有的""intensive""的含义。以前缀COM开头的单词大都和介词""with""一起使用。"
5,DE,"前缀DE来源于拉丁语，意为""down, from, away, off""，同时还有大部分前缀所共有的""intensive""的含义。以DE开头的单词大都和介词""from""一起使用。"
6,"DIS (DI, DIF)","前缀DIS来源于拉丁语，意为""apart, not""，还有""reverse, intensive""的含义。以DIS开头的单词大都和介词""from""一起使用。下面重点看一下DIS的主要意思""apart""。。"
7,EN (EM),"前缀EN来源于拉丁语，意为""in, make""，同时还有""intensive, give, not""的含义。"
8,"EX (E, EF, EC, ES)","前缀EX来源于拉丁语，意为""out""，同时还有""intensive""的含义。以EX并来的其他变形也和""from""一起使用。"
9,"IN (IL, IM, IR, I)","前缀IN来源于拉丁语，意为""in, on, not""，还有""against, to, intensive""的含义。与以IN开头的单词一起使用的介词有""in,on,to""等。"
10,"INTER (INTEL, ENTER)","前缀INTER来源于拉丁语，意为""between""。另外，前缀INTRO、INTRA意为""在内，向内""，注意不要混淆。"
11,"MAL (MALE, MALI)","前缀MAL来源于拉丁语，意为""ill, bad""。"
12,"OB (OC, OF, OP, OS, O)","前缀OB来源于拉丁语，意为""against""，还有""to, in the way, over, away, completely, intensive""等含义。"
13,PARA (PAR),"前缀PARA来源于拉丁语，意为""beside""，同时还有大部分前缀所共有的""intensive""的含义。"
14,"PER (PEL, POL, PAR, PIL, POR)","前缀PER来源于拉丁语，意为""through""，还有""intensive, falsely, excessive, by, by means of""等含义。"
15,PRE,"前缀PRE来源于拉丁语，意为""before""。"
16,"PRO (PUR, POR, PROD, PR)","前缀PRO来自拉丁语，意为""forward, forth, before""，还有""for, according to, in place of""等含义。"
17,"RE (RED, REN, R)","前缀RE来自拉丁语，意为""back""，还有""intensive, again, against, away, mutually""等含义。"
18,"SUB (SUC, SUF, SUG, SUM, SUP, SUS)","前缀SUB来自拉丁语，意为""under""，还有""secondary, slightly, in place of, precisely""等含义。"
19,"SUPER (SUR, SUPR, SOPR)","前缀SUPER来自拉丁语，意为""over""，还有""above, beyond""的含义。"
20,"TRANS (TRA, TRAN, TRES, TREAS)","前缀TRANS来自拉丁语，意为""across""，还有""through, over, beyond, change, intensive""等含义。"
21,A-,"来源于盎格鲁-撒克逊语，意为""in, on, at, to""（aboard, aside, asleep）等。另外，它还有大多数前缀共有的""intensive""（arise, awake）的含义。此外，请参考第1章中关于前缀A的说明，即前缀A在辅音字母m,v前变形为AB，意为""away""（amend, aversion）；在辅音字母sc, sp, st前变形为AD；意为""to""（ascend,aspire, astringent）;作为前缀AN在辅音字母前面的省略形式，意为""not, without""（achromatic）。"
22,AMBI- AMPHI-,"AMBI来源于拉丁语 ambio，意为""around, both""。在元音字母前，字母I脱落，变成AMB。从希腊语派生出来的前缀AMPHI含有相同的含义。"
23,ANA-,"来源于希腊语，意为""up""（anabatic），""back""（anagram），""again""（analects），""throughout""（analyze），""intensive""（anatomy）等。"
24,ANTE-,"来源于拉丁语，意为""before""；在元音字母和辅音字母h前，字母E脱落，变方ANT。"
25,ANTI-,"来源于希腊语，意为""against, opposite""。注意ANTI和前面提到的ANTE的含义完全不同。还需特别注意的是，ANTI在元音字母和辅音字母h前时，字母I脱落，变成ANT，ANTE的省略形式也是ANT，注意区别二者。"
26,APO-,"来源于希腊语，意为""away from, intensive""。有趣的是，前缀APO既用于最现代的用语中，也用于最古老的用语中。此外，在元音字母和辅音字母h前，元音字母O脱落，变成AP。"
27,AUTO-,"来源于希腊语，意为""self""。在元音字母和辅音字母h前，字母O脱落，变为AUT。近来,源于盎格鲁-撒克逊语的SELF有比AUTO更常用的倾向。"
28,BENE- BON-,"来源于拉丁语，意为""good""，其变形为BENI。BENE与来源于法语的BON及其变形BOUN意思相近。"
29,BI-,"来源于拉丁语，意为""two""，前缀BIN（binoculars）和BIS（biscuit）都是它的变形。此外，还有一些表示""数字""的前缀：1.half: SEMI（semicircle, semifinal），DEMI（demigod, demimonde），HEMI（hemisphere, hemiplegia）；2.one: MONO（monopoly, monotheism），UNI（unison, unilateral），SOL（soliloquy, solitude）；3.two: BI（bipartisan, bicentennial），DI（diarchy, dilemma），DU（dual, duet），TWI（twin, twilight）；4.three: TRI（trinity, triangle）；5.four: QUADRU（quadruped, quadruple），TETRA（tetragon, tetralogy）；6.five: PENTA（pentagon, pentameter），QUIN（quint, quintessence）；7.six: HEXA（hexagon, hexapod），SEXA（sexagenary, sextuplet）；8.seven: HEPTA（heptagon, heptahedron），SEPTA（septangle, september）；9.eight: OCTA（octagon, octopus）；10.nine: NONA（nonagon, November）；11.ten: DECA（decade, decagon），DECI（decimate, decimal）；12.hundred: CENT（centurion, centipede），HECTO（hectare, hectometer）；13.thousand: MILLI（millennium, millipede），KILO（kilometer, kilogram）；14.many: POLY（polytheism, polyclinic），MULTI（multiply, multilateral），PAN（panorama, pandemonium）；15.all: OMNI（omniscient, omnivorous）。"
30,CATA-,"来源于希腊语,意为""down"",是意为""up""的ANA的为反义前缀。此外,CATA还有""away,completely,against, throughout,backward""等含义。在元音字母和辅音字母h前,CATA的A脱落,变为CAT。"
31,CIRCUM-,"来源于拉丁语，意为""around, on all sides""，其变形为CIRC。另外，与CIRCUM意思相近的前缀还有AMBI, PERI。"
32,CONTRA- CONTRO- COUNTER-,"CONTRA来源于拉丁语，意为""against, contrary, opposite""。CONTRO、COUNTER是它的变形。"
33,DECA-,"来源于拉丁语，意为""ten""。"
34,DI-,"来源于希腊语，意为""two, double, twice, twofold""。此外，DI作为前缀DIS的变形，有""apart""的含义；作为前缀DIA的变形，有""through""的含义。"
35,DIA-,"来源于希腊语，意为""through, across, between, intensive""。在元音字母前，字母A脱落，DIA变为DI。"
36,DYN- DYNAMO-,"DYN、DYNAMO来源于希腊语的 dynamis，意为""power""。"
37,EPI-,"来源于希腊语，意为""on, beside, after, outside, among, away""，在元音字母和辅音字母h前，字母I脱落，变形为EP。"
38,EU-,"来源于希腊语，意为""good, well""。前缀DYS与EU意思相反，意为""bad, ill""。"
39,EXTRA- EXTER- EXTRO-,"EXTRA、EXTER来源于拉丁语，意为""outside""，在元音字母前有时省略为EXTR。另外，前缀EXTRO意为""outward""。"
40,FOR-,"来源于盎格鲁-撒克逊语，意为""away, apart, off""（forbid, forget, forgo），还有""intensive, very much""（forlorn, forswear）的含义。"
41,FORE-,"来源于盎格鲁-撒克逊语，意为""before, front, superior""的含义，可构成名词和动词。"
42,HETERO-,"来源于希腊语，意为""other, different""，跟前缀HOMO与其意思相反。此外，意为""other""的词根ALTER（altercation, alteration, alter ego, alternative）以及ULTER（adulterate, adultery），ALLO（allophonic），ALI（alienable, alibi, alias）与HETERO意思相近。"
43,HOMO-,"来源于希腊语，意为""same""，跟前缀HETERO与其意思相反。此外，变形有EQU（equivocal, equanimity, equivalent），SIMIL（similarity, facsimile, assimilate），SIMUL（simulate, simultaneous, simulcast），PAR（disparate, disparage, disparity），SEMBL（dissemble, ensemble, assembly），IDENT（identity, identification, identify），TAUTO（tautological）等。"
44,HYDRO-,"来源于希腊语，意为""water""，同根有AQUA（aquarium, aqueduct, aquamarine）与其意思相近。"
45,HYPER-,"来源于希腊语，意为""over, above, excessive""，与来源于拉丁语的前缀SUPER意思相近。"
