S9 词汇生产+质检 AI 成本估算（5批×100词）,,,,,,,,,
基于 51talk AI Gateway 实际计价,,,,,,,,,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
一、AI Gateway 定价（单位：¥元 / 百万 token）,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
模型,用途,TEXT INPUT,TEXT OUTPUT,备注,,,,,
gemini-3-flash-preview,生成（6维度）+ 质检L2（全部）,3.65,21.90,model_id=64,,,,
gpt-5.2,生成（仅例句 sentence）,12.78,102.20,model_id=78,,,,
,,,,,,,,,
GPT-5.2 vs Gemini 倍率: Input 3.5x / Output 4.7x,,,,,,,,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
二、维度→模型映射 + 单词成本明细（单义词基准）,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
阶段,维度,模型,调用粒度,Input Tokens,Output Tokens,Input成本(¥),Output成本(¥),小计(¥),备注
生成,syllable（音节）,Gemini,按单词,950,50,0.003468,0.001095,0.004563,Prompt 2192字节
生成,chunk（语块）,Gemini,按义项,630,100,0.002300,0.002190,0.004490,Prompt 1460字节
生成,sentence（例句）,GPT-5.2,按义项,1120,200,0.014314,0.020440,0.034754,成本占比最高的维度
生成,mnemonic_root_affix（词根词缀）,Gemini,按义项,2330,400,0.008505,0.008760,0.017265,Prompt 5370字节
生成,mnemonic_word_in_word（词中词）,Gemini,按义项,1830,350,0.006680,0.007665,0.014345,Prompt 4214字节
生成,mnemonic_sound_meaning（音义联想）,Gemini,按义项,1750,350,0.006388,0.007665,0.014053,Prompt 4034字节
生成,mnemonic_exam_app（考试应用）,Gemini,按义项,1910,350,0.006972,0.007665,0.014637,Prompt 4406字节
生成小计,—,混合,—,10520,1800,0.048625,0.055480,0.104105,
,,,,,,,,,
质检L2,syllable_unified,Gemini,按单词,600,80,0.002190,0.001752,0.003942,
质检L2,chunk_ai,Gemini,按义项,500,80,0.001825,0.001752,0.003577,
质检L2,sentence_ai,Gemini,按义项,1200,150,0.004380,0.003285,0.007665,9条规则合并
质检L2,mnemonic_root_affix_ai,Gemini,按义项,900,100,0.003285,0.002190,0.005475,
质检L2,mnemonic_word_in_word_ai,Gemini,按义项,900,100,0.003285,0.002190,0.005475,
质检L2,mnemonic_sound_meaning_ai,Gemini,按义项,900,100,0.003285,0.002190,0.005475,
质检L2,mnemonic_exam_app_ai,Gemini,按义项,900,100,0.003285,0.002190,0.005475,
质检L2小计,—,全Gemini,—,5900,710,0.021535,0.015549,0.037084,
,,,,,,,,,
Layer1质检,22条算法规则,无AI,—,0,0,0,0,0,纯算法零成本
,,,,,,,,,
单词总计（单义词）,—,—,14次调用,16420,2510,0.070160,0.071029,0.141189,≈¥0.14/词
,,,,,,,,,
成本结构分析:,,,,,,,,
  Gemini 部分（13次调用）,,,15300,2310,0.055845,0.050589,0.106434,占75.4%
  GPT-5.2 部分（1次调用）,,,1120,200,0.014314,0.020440,0.034754,占24.6%
  → 例句1个维度占总成本近1/4,,,,,,,,,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
三、调整因子,,,,,,,,
═══════════════════════════════════════,,,,,,,,
,,,,,,,,,
因子,说明,基准值,乐观,中等,悲观,,,,
平均义项数,多义词增加按义项维度调用,1.0,1.0,1.3,1.8,,,中小学词汇多义词约30%
助记有效率,valid=false的助记不进QC L2,100%,60%,75%,90%,,,部分词不适合某类助记
L1通过率,L1未通过不进L2,100%,90%,95%,98%,,,,
审核重生成率,reject后重新生成,0%,2%,5%,10%,,,最多3次
AI重试率,网络/限流导致重试,0%,1%,3%,5%,,,,
,,,,,,,,,
═══════════════════════════════════════,,,,,,,,
四、单批（100词）成本估算,,,,,,,,
